"id","title","authors","venue","year"
"conf/sigmod/VossenW99","The WASA2 Object-Oriented Workflow Management System","Mathias Weske, Gottfried Vossen","SIGMOD Conference",1999
"conf/sigmod/BouguettayaBH99","World Wide Database - Integrating the Web, CORBA, and Databases","Kevin Smith, Athman Bouguettaya, Mourad Ouzzani, James Beard, Lily Hendra, Boualem Benatallah","SIGMOD Conference",1999
"conf/sigmod/RoussopoulosKS99","The Active MultiSync Controller of the Cubetree Storage Organization","Yannis Sismanis, Yannis Kotidis, Nick Roussopoulos","SIGMOD Conference",1999
"journals/sigmod/BuchnerM98","Discovering Internet Marketing Intelligence through Online Analytical Web Usage Mining","Alex G. Büchner, Maurice D. Mulvenna","SIGMOD Record",1998
"journals/sigmod/DogacDATKCD98","A Workflow-based Electronic Marketplace on the Web","Ibrahim Cingil, Nazife Dimililer, Nesime Tatbul, Ilker Durusoy, Asuman Dogac, Pinar Koksal, Sena Nural Arpinar","SIGMOD Record",1998
"journals/sigmod/Mackay99","Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making","D. Scott Mackay","SIGMOD Record",1999
"conf/vldb/ChawatheCY94","On Index Selection Schemes for Nested Object Hierarchies","Sudarshan S. Chawathe, Ming-Syan Chen, Philip S. Yu","VLDB",1994
"conf/vldb/VriesDBA99","The Mirror MMDBMS Architecture","Mark G. L. M. van Doorn, Arjen P. de Vries, Henk M. Blanken, Peter M. G. Apers","VLDB",1999
"journals/sigmod/CasatiDS00","VLDB Workshop on Technologies in E-Services (TES)","Ming-Chien Shan, Fabio Casati, Umeshwar Dayal","SIGMOD Record",2000
"journals/vldb/MylopoulosCPST96","Building Knowledge Base Management Systems","Thodoros Topaloglou, Adel Shrufi, Vinay K. Chaudhri, Dimitris Plexousakis, John Mylopoulos","VLDB J.",1996
