"id","author","title","venue"
"conf/sigmod/SlivinskasJS01","Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas","Adaptable Query Optimization and Evaluation in Temporal Middleware","SIGMOD Conference"
"conf/sigmod/ChaudhuriDN01","Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri","A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries","SIGMOD Conference"
"conf/sigmod/RinfretOO01","Elizabeth J. O'Neil, Denis Rinfret, Patrick E. O'Neil","Bit-Sliced Index Arithmetic","SIGMOD Conference"
"conf/sigmod/BreunigKKS01","J�rg Sander, Hans-Peter Kriegel, Peer Kr�ger, Markus M. Breunig","Data Bubbles: Quality Preserving Performance Boosting for Hierarchical Clustering","SIGMOD Conference"
"conf/sigmod/JagadishJOT01","H. V. Jagadish, Kian-Lee Tan, Hui Jin, Beng Chin Ooi","Global Optimization of Histograms","SIGMOD Conference"
"conf/sigmod/NazeriBO01","Zohreh Nazeri, Paul Ostwald, Eric Bloedorn","Experiences in Mining Aviation Safety Data","SIGMOD Conference"
"conf/sigmod/ChenZCKR01","Songting Chen, Andreas Koeller, Elke A. Rundensteiner, Xin Zhang, Jun Chen","DyDa: Data Warehouse Maintenance in Fully Concurrent Environments","SIGMOD Conference"
"conf/sigmod/BohmBKK01","Florian Krebs, Christian B�hm, Bernhard Braunm�ller, Hans-Peter Kriegel","Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data","SIGMOD Conference"
"conf/sigmod/DattaDRTV01","Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta","Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation","SIGMOD Conference"
"conf/sigmod/HernandezMHYHT01","Laura M. Haas, Ren�e J. Miller, Mauricio A. Hern�ndez","Clio: A Semi-Automatic Tool For Schema Mapping","SIGMOD Conference"
"conf/sigmod/LeeWMS01","Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee","Dynamic Buffer Allocation in Video-on-Demand Systems","SIGMOD Conference"
"conf/sigmod/HanPLJ01","Jiawei Han, Liangyou Chen, Jian Pei, Ying Lu, Yaqin Liao, Hasan M. Jamil","DNA-Miner: A System Prototype for Mining DNA Sequences","SIGMOD Conference"
"conf/sigmod/KiesslingHFE01","Werner Kie�ling, Thorsten Ehm, Stefan Holland, Stefan Fischer 0003","COSIMA - Your Smart, Speaking E-Salesperson","SIGMOD Conference"
"conf/sigmod/YanMHF01","Laura M. Haas, Ling-Ling Yan, Ronald Fagin, Ren�e J. Miller","Data-Driven Understanding and Refinement of Schema Mappings","SIGMOD Conference"
"conf/sigmod/FernandezMS01","Mary F. Fernandez, Dan Suciu, Atsuyuki Morishima","Efficient Evaluation of XML Middle-ware Queries","SIGMOD Conference"
"conf/sigmod/CandanLLHA01","Qiong Luo, Divyakant Agrawal, Wen-Syan Li, Wang-Pin Hsiung, K. Sel�uk Candan","Enabling Dynamic Content Caching for Database-Driven Web Sites","SIGMOD Conference"
"conf/sigmod/BorkarDS01","Vinayak R. Borkar, Sunita Sarawagi, Kaustubh Deshmukh","Automatic Segmentation of Text into Structured Records","SIGMOD Conference"
"conf/sigmod/SchusterW01","Ran Wolff, Assaf Schuster","Communication Efficient Distributed Mining of Association Rules","SIGMOD Conference"
"conf/sigmod/HanPDW01","Guozhu Dong, Jian Pei, Jiawei Han, Ke Wang","Efficient Computation of Iceberg Cubes with Complex Measures","SIGMOD Conference"
"conf/sigmod/Maguire01","Thomas Maguire","Catalog Management in Websphere Commerce Suite","SIGMOD Conference"
"conf/sigmod/GodfreyGXZ01","Jarek Gryz, Calisto Zuzarte, Parke Godfrey","Exploiting Constraint-Like Data Characterizations in Query Optimization","SIGMOD Conference"
"conf/sigmod/FabretJLPRS01","Kenneth A. Ross, Fran�oise Fabret, Fran�ois Llirbat, Jo�o Pereira, Hans-Arno Jacobsen, Dennis Shasha","Filtering Algorithms and Implementation for Very Fast Publish/Subscribe","SIGMOD Conference"
"conf/sigmod/OlstonWL01","Boon Thau Loo, Jennifer Widom, Chris Olston","Adaptive Precision Setting for Cached Approximate Values","SIGMOD Conference"
"conf/sigmod/LahiriG01","Ashok Joshi, Ron Weiss, Amit Ganesh, Tirthankar Lahiri","Fast-Start: Quick Fault Recovery in Oracle","SIGMOD Conference"
"conf/sigmod/DeolaseeKPRS01","Pavan Deolasee, Amol Katkar, Krithi Ramamritham, Ankur Panchbudhe, Prashant J. Shenoy","Dissemination of Dynamic Data","SIGMOD Conference"
"conf/sigmod/Meseck01","Reed M. Meseck","Data Management: Lasting Impact of the Wild Wild, Wild, Web","SIGMOD Conference"
"conf/sigmod/ShahC01","Mehul A. Shah, Sirish Chandrasekaran","Fault-tolerant, Load-balancing Queries in Telegraph","SIGMOD Conference"
"conf/sigmod/StonebrakerH01","Joseph M. Hellerstein, Michael Stonebraker","Content Integration for E-Business","SIGMOD Conference"
"conf/sigmod/AfratiLU01","Chen Li, Jeffrey D. Ullman, Foto N. Afrati","Generating Efficient Plans for Queries Using Views","SIGMOD Conference"
"conf/sigmod/ButtlerLPP01","Henrique Paques, Ling Liu, David Buttler, Calton Pu","OminiSearch: A Method for Searching Dynamic Content on the Web","SIGMOD Conference"
"conf/sigmod/LangS01","Christian A. Lang, Ambuj K. Singh","Modeling High-Dimensional Index Structures using Sampling","SIGMOD Conference"
"conf/sigmod/Smith01","John R. Smith","MPEG-7 Standard for Multimedia Databases","SIGMOD Conference"
"conf/sigmod/TatarinovIHW01","Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy","Updating XML","SIGMOD Conference"
"conf/sigmod/ShouCTRH01","Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou","REVIEW: A Real Time Virtual Walkthrough System","SIGMOD Conference"
"conf/sigmod/GionisGK01","Dimitrios Gunopulos, Aristides Gionis, Nick Koudas","Efficient and Tunable Similar Set Retrieval","SIGMOD Conference"
"conf/sigmod/MistryRSR01","Krithi Ramamritham, Hoshi Mistry, Prasan Roy, S. Sudarshan","Materialized View Selection and Maintenance Using Multi-Query Optimization","SIGMOD Conference"
"conf/sigmod/Larson01","Per-�ke Larson","XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract)","SIGMOD Conference"
"conf/sigmod/GoldsteinL01","Per-�ke Larson, Jonathan Goldstein","Optimizing Queries Using Materialized Views: A practical, scalable solution","SIGMOD Conference"
"conf/sigmod/Bussler01","Christoph Bussler","Semantic B2B Integration","SIGMOD Conference"
"conf/sigmod/BabuGR01","Shivnath Babu, Rajeev Rastogi, Minos N. Garofalakis","SPARTAN: A Model-Based Semantic Compression System for Massive Data Tables","SIGMOD Conference"
"conf/sigmod/LamCKNH01","Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung, Kam-yiu Lam","RETINA: A REal-time TraffIc NAvigation System","SIGMOD Conference"
"conf/sigmod/GreenwaldK01","Sanjeev Khanna, Michael Greenwald","Space-Efficient Online Computation of Quantile Summaries","SIGMOD Conference"
"conf/sigmod/DraperHW01","Daniel S. Weld, Alon Y. Halevy, Denise Draper","The Nimble Integration Engine","SIGMOD Conference"
"conf/sigmod/AgichteinGV01","Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova","Snowball: A Prototype System for Extracting Relations from Large Text Collections","SIGMOD Conference"
"conf/sigmod/KimCK01","Sang Kyun Cha, Keunjoo Kwon, Kihong Kim","Optimizing Multidimensional Index Trees for Main Memory Access","SIGMOD Conference"
"conf/sigmod/ClaypoolRZSK01","Elke A. Rundensteiner, Gail Mitchell, Wang-Chien Lee, Harumi A. Kuno, Xin Zhang, Hong Su, Kajal T. Claypool","Gangam - A Solution to Support Multiple Data Models, their Mappings and Maintenance","SIGMOD Conference"
"conf/sigmod/BertinoCF01","Elisa Bertino, Elena Ferrari, Silvana Castano","Securing XML Documents: the Author-X Project Demonstration","SIGMOD Conference"
"conf/sigmod/Mohan01","C. Mohan","Application Servers: Born-Again TP Monitors for the Web? (Panel Abstract)","SIGMOD Conference"
"conf/sigmod/KalnisP01","Panos Kalnis, Dimitris Papadias","Proxy-Server Architectures for OLAP","SIGMOD Conference"
"conf/sigmod/YuMWL01","Weiyi Meng, Clement T. Yu, King-Lup Liu, Wensheng Wu","Efficient and Effective Metasearch for Text Databases Incorporating Linkages among Documents","SIGMOD Conference"
"conf/sigmod/ChenGK01","Zhiyuan Chen, Flip Korn, Johannes Gehrke","Query Optimization In Compressed Database Systems","SIGMOD Conference"
"conf/sigmod/Galindo-LegariaJ01","Milind Joshi, C�sar A. Galindo-Legaria","Orthogonal Optimization of Subqueries and Aggregation","SIGMOD Conference"
"conf/sigmod/DeshpandeGR01","Amol Deshpande, Rajeev Rastogi, Minos N. Garofalakis","Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data","SIGMOD Conference"
"conf/sigmod/LazaridisM01","Iosif Lazaridis, Sharad Mehrotra","Progressive Approximate Aggregate Queries with a Multi-Resolution Tree Structure","SIGMOD Conference"
"conf/sigmod/BrunoCG01","Luis Gravano, Nicolas Bruno, Surajit Chaudhuri","STHoles: A Multidimensional Workload-Aware Histogram","SIGMOD Conference"
"conf/sigmod/Sahuguet01","Arnaud Sahuguet","Kweelt: More than just yet another framework to query XML!","SIGMOD Conference"
"conf/sigmod/AgrawalCN01","Vivek R. Narasayya, Sanjay Agrawal, Surajit Chaudhuri","Materialized View and Index Selection Tool for Microsoft SQL Server 2000","SIGMOD Conference"
"conf/sigmod/ChenGM01","Shimin Chen, Todd C. Mowry, Phillip B. Gibbons","Improving Index Performance through Prefetching","SIGMOD Conference"
"conf/sigmod/ZhangNDLL01","Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang","On Supporting Containment Queries in Relational Database Management Systems","SIGMOD Conference"
"conf/sigmod/CarinoKKB01","Felipe Cari�o, Pekka Kostamaa, Art Kaufmann, John Burgess","StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing","SIGMOD Conference"
"conf/sigmod/AggarwalY01","Charu C. Aggarwal, Philip S. Yu","Outlier Detection for High Dimensional Data","SIGMOD Conference"
"conf/sigmod/WynblattN01","Michael J. Wynblatt, Julio C. Navas","The Network is the Database: Data Management for Highly Distributed Systems","SIGMOD Conference"
"conf/sigmod/BohannonMR01","Philip Bohannon, Rajeev Rastogi, Peter McIlroy","Main-Memory Index Structures with Fixed-Size Partial Keys","SIGMOD Conference"
"conf/sigmod/GunopulosD01","Gautam Das, Dimitrios Gunopulos","Time Series Similarity Measures and Time Series Indexing","SIGMOD Conference"
"conf/sigmod/KeoghCMP01","Kaushik Chakrabarti, Sharad Mehrotra, Eamonn J. Keogh, Michael J. Pazzani","Locally Adaptive Dimensionality Reduction for Indexing Large Time Series Databases","SIGMOD Conference"
"conf/sigmod/DoanDH01","AnHai Doan, Pedro Domingos, Alon Y. Halevy","Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach","SIGMOD Conference"
"conf/sigmod/NgWY01","Yu Yin, Raymond T. Ng, Alan S. Wagner","Iceberg-cube computation with PC clusters","SIGMOD Conference"
"conf/sigmod/IpeirotisGS01","Mehran Sahami, Panagiotis G. Ipeirotis, Luis Gravano","Probe, Count, and Classify: Categorizing Hidden Web Databases","SIGMOD Conference"
"conf/sigmod/JoshiA01","Ramesh C. Agarwal, Mahesh V. Joshi","Mining Needle in a Haystack: Classifying Rare Classes via Two-phase Rule Induction","SIGMOD Conference"
"conf/sigmod/HristidisKP01","Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas","PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries","SIGMOD Conference"
"conf/sigmod/GetoorTK01","Daphne Koller, Lise Getoor, Benjamin Taskar","Selectivity Estimation using Probabilistic Models","SIGMOD Conference"
