"id","author","title","year","venue"
"conf/sigmod/SlivinskasJS01","Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas","Adaptable Query Optimization and Evaluation in Temporal Middleware","2001","SIGMOD Conference"
"conf/sigmod/OlstonWL01","Boon Thau Loo, Jennifer Widom, Chris Olston","Adaptive Precision Setting for Cached Approximate Values","2001","SIGMOD Conference"
"conf/sigmod/KimCK01","Sang Kyun Cha, Keunjoo Kwon, Kihong Kim","Optimizing Multidimensional Index Trees for Main Memory Access","2001","SIGMOD Conference"
"conf/sigmod/NgWY01","Yu Yin, Raymond T. Ng, Alan S. Wagner","Iceberg-cube computation with PC clusters","2001","SIGMOD Conference"
"conf/sigmod/CorralMTV00","Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos","Closest Pair Queries in Spatial Databases","2000","SIGMOD Conference"
"conf/sigmod/JarkeQCLFLVV00","Panos Vassiliadis, Spyros Ligoudistianos, Diego Calvanese, Christoph Quix, Maurizio Lenzerini, Matthias Jarke, Enrico Franconi, Yannis Vassiliou","Concept Based Design of Data Warehouses: The DWQ Demonstrators","2000","SIGMOD Conference"
"conf/sigmod/LabrinidisR00","Nick Roussopoulos, Alexandros Labrinidis","WebView Materialization","2000","SIGMOD Conference"
"conf/sigmod/HsuLG00","Kheng Guan Goh, Wynne Hsu, Mong-Li Lee","Image Mining in IRIS: Integrated Retinal Information System","2000","SIGMOD Conference"
"conf/sigmod/CallanCD99","Aiqun Du, James P. Callan, Margaret E. Connell","Automatic Discovery of Language Models for Text Databases","1999","SIGMOD Conference"
"conf/sigmod/BreitbartKRSS99","Raghavan Komondoor, Abraham Silberschatz, Yuri Breitbart, S. Seshadri, Rajeev Rastogi","Update Propagation Protocols For Replicated Databases","1999","SIGMOD Conference"
"conf/sigmod/Suciu99","Dan Suciu","Managing Web Data","1999","SIGMOD Conference"
"conf/sigmod/NgLHP98","Alex Pang, Jiawei Han, Raymond T. Ng, Laks V. S. Lakshmanan","Exploratory Mining and Pruning Optimizations of Constrained Association Rules","1998","SIGMOD Conference"
"conf/sigmod/WhiteCF98","Seth J. White, R. G. G. Cattell, Sheldon J. Finkelstein","Enterprise Java Platform Data Access","1998","SIGMOD Conference"
"conf/sigmod/BerchtoldBK98","Christian B�hm, Hans-Peter Kriegel, Stefan Berchtold","The Pyramid-Technique: Towards Breaking the Curse of Dimensionality","1998","SIGMOD Conference"
"conf/sigmod/ReinwaldP98","Berthold Reinwald, Hamid Pirahesh","SQL Open Heterogeneous Data Access","1998","SIGMOD Conference"
"conf/sigmod/ZhaoDN97","Jeffrey F. Naughton, Yihong Zhao, Prasad Deshpande","An Array-Based Algorithm for Simultaneous Multidimensional Aggregates","1997","SIGMOD Conference"
"conf/sigmod/HoAMS97","Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant","Range Queries in OLAP Data Cubes","1997","SIGMOD Conference"
"conf/sigmod/Chaudhuri97","Surajit Chaudhuri","Query Optimization at the Crossroads (Panel)","1997","SIGMOD Conference"
"conf/sigmod/LibkinMW96","Limsoon Wong, Rona Machlin, Leonid Libkin","A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques","1996","SIGMOD Conference"
"conf/sigmod/GoelI96","Piyush Goel, Balakrishna R. Iyer","SQL Query Optimization: Reordering for a General Class of Queries","1996","SIGMOD Conference"
"conf/sigmod/RossSS96","Divesh Srivastava, S. Sudarshan, Kenneth A. Ross","Materialized View Maintenance and Integrity Constraint Checking: Trading Space for Time","1996","SIGMOD Conference"
"conf/sigmod/HouZ95","Wen-Chi Hou, Zhongyang Zhang","Enhancing Database Correctness: a Statistical Approach","1995","SIGMOD Conference"
"conf/sigmod/RoussopoulosKV95","Stephen Kelley, Fr�d�ic Vincent, Nick Roussopoulos","Nearest Neighbor Queries","1995","SIGMOD Conference"
"conf/sigmod/Epstein95","Robert S. Epstein","Keynote Address","1995","SIGMOD Conference"
"conf/sigmod/KeimK95","Hans-Peter Kriegel, Daniel A. Keim","VisDB: A System for Visualizing Large Databases","1995","SIGMOD Conference"
"conf/sigmod/CareyFZ94","Michael J. Carey, Markos Zaharioudakis, Michael J. Franklin","Fine-Grained Sharing in a Page Server OODBMS","1994","SIGMOD Conference"
"conf/sigmod/GraySEBW94","Susanne Englert, Jim Gray, Kenneth Baclawski, Peter J. Weinberger, Prakash Sundaresan","Quickly Generating Billion-Record Synthetic Databases","1994","SIGMOD Conference"
"conf/sigmod/Englert94","Susanne Englert","NonStop SQL: Scalability and Availability for Decision Support","1994","SIGMOD Conference"
"conf/sigmod/BenediktCFFR03","Juliana Freire, Rajeev Rastogi, Michael Benedikt, Wenfei Fan, Chee Yong Chan","Capturing both Types and Constraints in Data Integration","2003","SIGMOD Conference"
"conf/sigmod/AbadiCCCCEGHMRSSTXYZ03","Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur �etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun","Aurora: A Data Stream Management System","2003","SIGMOD Conference"
"conf/sigmod/CohenM03","Yossi Matias, Saar Cohen","Spectral Bloom Filters","2003","SIGMOD Conference"
"conf/sigmod/ChoALS03","SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava, Sihem Amer-Yahia","LockX: A System for Efficiently Querying Secure XML","2003","SIGMOD Conference"
"conf/sigmod/BrunoC02","Nicolas Bruno, Surajit Chaudhuri","Exploiting statistics on query expressions for optimization","2002","SIGMOD Conference"
"conf/sigmod/HanWDPW02","Jian Pei, Guozhu Dong, Ke Wang, Jiawei Han, Jianyong Wang","CubeExplorer: online exploration of data cubes","2002","SIGMOD Conference"
"conf/sigmod/TaoP02","Dimitris Papadias, Yufei Tao","Time-parameterized queries in spatio-temporal databases","2002","SIGMOD Conference"
"conf/sigmod/RundensteinerWYD02","Elke A. Rundensteiner, Punit R. Doshi, Jing Yang, Matthew O. Ward","XmdvTool: visual interactive data exploration and trend discovery of high-dimensional data sets","2002","SIGMOD Conference"
"journals/sigmod/CalvaneseGLV03","Giuseppe De Giacomo, Moshe Y. Vardi, Maurizio Lenzerini, Diego Calvanese","Reasoning on regular path queries","2003","SIGMOD Record"
"journals/sigmod/Ouksel03","Aris M. Ouksel","In-context peer-to-peer information filtering on the Web","2003","SIGMOD Record"
"journals/sigmod/David03","Michael M. David","ANSI SQL Hierarchical Processing Can Fully Integrate Native XML","2003","SIGMOD Record"
"journals/sigmod/BoucelmaCGJLL02","Carole A. Goble, Omar Boucelma, Silvana Castano, Vanja Josifovski, Zo� Lacroix, Bertram Lud�scher","Report on the EDBT'02 Panel on Scientific Data Integration","2002","SIGMOD Record"
"journals/sigmod/OrlandicLS02","Ratko Orlandic, Craig Swietlik, Jack Lukaszuk","The Design of a Retrieval Technique for High-Dimensional Data on Tertiary Storage","2002","SIGMOD Record"
"journals/sigmod/RossKMV02","Kaladhar Voruganti, Ren�e J. Miller, Kenneth A. Ross, Flip Korn","Reminiscences on Influential Papers","2002","SIGMOD Record"
"journals/sigmod/SchmidtWKFCMB01","Ralph Busse, Michael J. Carey, Daniela Florescu, Martin L. Kersten, Albrecht Schmidt, Florian Waas, Ioana Manolescu","Why And How To Benchmark XML Databases","2001","SIGMOD Record"
"journals/sigmod/BernsteinHP00","Rachel Pottinger, Alon Y. Halevy, Philip A. Bernstein","A Vision of Management of Complex Models","2000","SIGMOD Record"
"journals/sigmod/BonifatiC00","Angela Bonifati, Stefano Ceri","Comparative Analysis of Five XML Query Languages","2000","SIGMOD Record"
"journals/sigmod/YauLMS99","Stanley M. T. Yau, Antonio Si, Dennis McLeod, Hong Va Leong","On Multi-Resolution Document Transmission in Mobile Web","1999","SIGMOD Record"
"journals/sigmod/BollKB98","Wolfgang Klas, Susanne Boll, Bernard Battaglin","Design and Implementation of RMP - A Virtual Electronic Market Place","1998","SIGMOD Record"
"journals/sigmod/Chaudhri98","Akmal B. Chaudhri","Workshop Report on Experiences Using Object Data Management in the Real-World","1998","SIGMOD Record"
"journals/sigmod/GuptaHR97","Venky Harinarayan, Ashish Gupta, Anand Rajaraman","Virtual Database technology","1997","SIGMOD Record"
