"id","label"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/104185>","INSTITUTO SUPERIOR TECNICO"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/105371>","University of Aberdeen"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/103918>","UNIVERSITY OF STIRLING."
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/115615>","UNIVERSITY OF WARWICK"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/125156>","UNIVERSITY COLLEGE CORK"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/154870>","University of Reading"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/447035>","University of Aberdeen"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/149280>","MARITIME RESEARCH INSTITUTE NETHERLANDS"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/199989>","UNIVERSITY OF BRADFORD"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/1005999>","SHEFFIELD HALLAM UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/2673089>","Oxford Brookes University"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/2802228>","KING?S COLLEGE LONDON"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/4013619>","UNIVERSITY OF TAMPERE"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/4096060>","UNIVERSITY OF SURREY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/5151164>","UNIVERSITY OF BRISTOL"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/5313463>","UNIVERSITY OF PRETORIA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/6885564>","University of Leipzig"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/6885751>","University of Zurich"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/7499089>","UNIVERSITY OF HELSINKI"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8091887>","UNIVERSITY OF KONSTANZ"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8774432>","POZNAN UNIVERSITY OF TECHNOLOGY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8803057>","UNIVERSITY OF BERGEN"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8772900>","Banaras Hindu University"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8779664>","UNIVERSITY OF MANITOBA,"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8811859>","UNIVERSITY OF BREMEN"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8811956>","UNIVERSITAET DUISBURG-ESSEN"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8813159>","DASSAULT AVIATION"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8815146>","ROBERT BOSCH GMBH"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8830331>","MASSEY UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8840399>","UNIVERSITY OF BRIGHTON"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8835054>","UNIVERSITY OF VIENNA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8846845>","UNIVERSITY OF MARIBOR"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8871141>","POZNAN UNIVERSITY OF TECHNOLOGY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8909646>","PEKING UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8880822>","UNIVERSITY OF OTTAWA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8914172>","UNIVERSITY OF COLOGNE"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8918748>","INTERNATIONAL ORGANIZATION FOR MIGRATION"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8941685>","MAXWELL TECHNOLOGIES SA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8945823>","UNIVERSITY OF LAUSANNE"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8939786>","UNIVERSITY OF GLASGOW"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8956378>","MIDDLESEX UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8957492>","UNIVERSITY OF NEW SOUTH WALES."
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8948702>","EUROCOPTER"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8948776>","UNIVERSITY OF LIMERICK"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8991633>","GADJAH MADA UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8987399>","UNIVERSITY OF VICTORIA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9002510>","AMERICAN UNIVERSITY OF BEIRUT"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9010548>","CARLETON UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9212904>","MONASH UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9210914>","MCMASTER UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9404966>","THE UNIVERSITY OF WESTERN ONTARIO"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9404248>","UNIVERSITY OF MICHIGAN"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9403953>","UNIVERSITY OF HAMBURG"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9415012>","UNIVERSITY OF LINCOLN"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9444764>","DE MONTFORT UNIVERSITY."
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9435077>","COLUMBIA UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9420588>","UNIVERSITY OF ALBERTA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9451775>","NATIONAL TAIWAN UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9447724>","OXFORD BROOKES UNIVERSITY"
