"id","label"
"<http://dbpedia.org/resource/Saquinavir>","Saquinavir"
"<http://dbpedia.org/resource/Ceftazidime>","Ceftazidime"
"<http://dbpedia.org/resource/Acitretin>","Acitretin"
"<http://dbpedia.org/resource/Moexipril>","Moexipril"
"<http://dbpedia.org/resource/Tiabendazole>","Tiabendazole"
"<http://dbpedia.org/resource/IUD_with_progestogen>","IUD with progestogen"
"<http://dbpedia.org/resource/Iopromide>","Iopromide"
"<http://dbpedia.org/resource/Tramadol>","Tramadol"
"<http://dbpedia.org/resource/Sevoflurane>","Sevoflurane"
"<http://dbpedia.org/resource/Lindane>","Lindane"
"<http://dbpedia.org/resource/Tolazamide>","Tolazamide"
"<http://dbpedia.org/resource/Rotigotine>","Rotigotine"
"<http://dbpedia.org/resource/Sorafenib>","Sorafenib"
"<http://dbpedia.org/resource/Alclometasone>","Alclometasone"
"<http://dbpedia.org/resource/Pioglitazone>","Pioglitazone"
"<http://dbpedia.org/resource/Venlafaxine>","Venlafaxine"
"<http://dbpedia.org/resource/Dapsone>","Dapsone"
"<http://dbpedia.org/resource/Risedronic_acid>","Risedronic acid"
"<http://dbpedia.org/resource/Alfuzosin>","Alfuzosin"
"<http://dbpedia.org/resource/Atovaquone>","Atovaquone"
"<http://dbpedia.org/resource/Adipiodone>","Adipiodone"
"<http://dbpedia.org/resource/Pimecrolimus>","Pimecrolimus"
"<http://dbpedia.org/resource/Apraclonidine>","Apraclonidine"
"<http://dbpedia.org/resource/Amitriptyline>","Amitriptyline"
"<http://dbpedia.org/resource/Latanoprost>","Latanoprost"
"<http://dbpedia.org/resource/Epinastine>","Epinastine"
"<http://dbpedia.org/resource/Estramustine>","Estramustine"
"<http://dbpedia.org/resource/Aprepitant>","Aprepitant"
"<http://dbpedia.org/resource/Droperidol>","Droperidol"
"<http://dbpedia.org/resource/Paliperidone>","Paliperidone"
"<http://dbpedia.org/resource/Eptifibatide>","Eptifibatide"
"<http://dbpedia.org/resource/Amrinone>","Amrinone"
"<http://dbpedia.org/resource/Eplerenone>","Eplerenone"
"<http://dbpedia.org/resource/Ertapenem>","Ertapenem"
"<http://dbpedia.org/resource/Darifenacin>","Darifenacin"
"<http://dbpedia.org/resource/Brimonidine>","Brimonidine"
"<http://dbpedia.org/resource/Ramipril>","Ramipril"
"<http://dbpedia.org/resource/Melphalan>","Melphalan"
"<http://dbpedia.org/resource/Docetaxel>","Docetaxel"
"<http://dbpedia.org/resource/Erlotinib>","Erlotinib"
"<http://dbpedia.org/resource/Bexarotene>","Bexarotene"
"<http://dbpedia.org/resource/Pemetrexed>","Pemetrexed"
"<http://dbpedia.org/resource/Methyldopa>","Methyldopa"
"<http://dbpedia.org/resource/Methyldopa>","Methyldopa"
"<http://dbpedia.org/resource/Gefitinib>","Gefitinib"
"<http://dbpedia.org/resource/Guaifenesin>","Guaifenesin"
"<http://dbpedia.org/resource/Naratriptan>","Naratriptan"
"<http://dbpedia.org/resource/Cyclobenzaprine>","Cyclobenzaprine"
"<http://dbpedia.org/resource/Capecitabine>","Capecitabine"
"<http://dbpedia.org/resource/Lamivudine>","Lamivudine"
"<http://dbpedia.org/resource/Tetrabenazine>","Tetrabenazine"
"<http://dbpedia.org/resource/Glimepiride>","Glimepiride"
"<http://dbpedia.org/resource/Probucol>","Probucol"
"<http://dbpedia.org/resource/Hydroflumethiazide>","Hydroflumethiazide"
"<http://dbpedia.org/resource/Simcor>","Simcor"
"<http://dbpedia.org/resource/Anidulafungin>","Anidulafungin"
"<http://dbpedia.org/resource/Deferoxamine>","Deferoxamine"
"<http://dbpedia.org/resource/Tranylcypromine>","Tranylcypromine"
"<http://dbpedia.org/resource/Perindopril>","Perindopril"
"<http://dbpedia.org/resource/Sertaconazole>","Sertaconazole"
"<http://dbpedia.org/resource/Silver_sulfadiazine>","Silver sulfadiazine"
"<http://dbpedia.org/resource/Terbutaline>","Terbutaline"
"<http://dbpedia.org/resource/Sincalide>","Sincalide"
"<http://dbpedia.org/resource/Terazosin>","Terazosin"
"<http://dbpedia.org/resource/Paromomycin_sulfate>","Paromomycin sulfate"
"<http://dbpedia.org/resource/Olopatadine>","Olopatadine"
"<http://dbpedia.org/resource/Carboplatin>","Carboplatin"
"<http://dbpedia.org/resource/Simvastatin>","Simvastatin"
"<http://dbpedia.org/resource/Pethidine>","Pethidine"
"<http://dbpedia.org/resource/Sirolimus>","Sirolimus"
"<http://dbpedia.org/resource/Loperamide>","Loperamide"
"<http://dbpedia.org/resource/Pancuronium_bromide>","Pancuronium bromide"
"<http://dbpedia.org/resource/Quetiapine>","Quetiapine"
"<http://dbpedia.org/resource/Verapamil>","Verapamil"
"<http://dbpedia.org/resource/Paroxetine>","Paroxetine"
"<http://dbpedia.org/resource/Ergotamine>","Ergotamine"
"<http://dbpedia.org/resource/Gadoxetic_acid>","Gadoxetic acid"
"<http://dbpedia.org/resource/Gadoteridol>","Gadoteridol"
"<http://dbpedia.org/resource/Gadobutrol>","Gadobutrol"
"<http://dbpedia.org/resource/Micafungin>","Micafungin"
"<http://dbpedia.org/resource/Naphazoline>","Naphazoline"
"<http://dbpedia.org/resource/Bupivacaine>","Bupivacaine"
"<http://dbpedia.org/resource/Temozolomide>","Temozolomide"
"<http://dbpedia.org/resource/Tetracycline>","Tetracycline"
"<http://dbpedia.org/resource/Amfepramone>","Amfepramone"
"<http://dbpedia.org/resource/Gatifloxacin>","Gatifloxacin"
"<http://dbpedia.org/resource/Chloroprocaine>","Chloroprocaine"
"<http://dbpedia.org/resource/Apomorphine>","Apomorphine"
"<http://dbpedia.org/resource/Busulfan>","Busulfan"
"<http://dbpedia.org/resource/Esmolol>","Esmolol"
