"id","author","title","year","venue"
"375678","Giedrius Slivinskas, Christian S. Jensen, Richard Thomas Snodgrass","Adaptable query optimization and evaluation in temporal middleware","2001","International Conference on Management of Data"
"375710","Chris Olston, Boon Thau Loo, Jennifer Widom","Adaptive precision setting for cached approximate values","2001","International Conference on Management of Data"
"375679","Kihong Kim, Sang K. Cha, Keunjoo Kwon","Optimizing multidimensional index trees for main memory access","2001","International Conference on Management of Data"
"375666","Raymond T. Ng, Alan Wagner, Yu Yin","Iceberg-cube computation with PC clusters","2001","International Conference on Management of Data"
"335414","Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos","Closest pair queries in spatial databases","2000","International Conference on Management of Data"
"336570","M. Jarke, C. Quix, D. Calvanese, M. Lenzerini, E. Franconi, S. Ligoudistianos, P. Vassiliadis, Y. Vassiliou","Concept based design of data warehouses: the DWQ demonstrators","2000","International Conference on Management of Data"
"335430","Alexandros Labrinidis, Nick Roussopoulos","WebView materialization","2000","International Conference on Management of Data"
"336573","Wynne Hsu, Mong Li Lee, Kheng Guan Goh","Image mining in IRIS: integrated retinal information system","2000","International Conference on Management of Data"
"304224","Jamie Callan, Margaret Connell, Aiqun Du","Automatic discovery of language models for text databases","1999","International Conference on Management of Data"
"304191","Yuri Breitbart, Raghavan Komondoor, Rajeev Rastogi, S. Seshadri, Avi Silberschatz","Update propagation protocols for replicated databates","1999","International Conference on Management of Data"
"304233","Dan Suciu","Managing Web data","1999","International Conference on Management of Data"
"276307","Raymond T. Ng, Laks V. S. Lakshmanan, Jiawei Han, Alex Pang","Exploratory mining and pruning optimizations of constrained associations rules","1998","International Conference on Management of Data"
"276355","Seth White, Rick Cattell, Shel Finkelstein","Enterprise Java platform data access","1998","International Conference on Management of Data"
"276318","Stefan Berchtold, Christian B&#246;hm, Hans-Peter Kriegal","The pyramid-technique: towards breaking the curse of dimensionality","1998","International Conference on Management of Data"
"276356","Berthold Reinwald, Hamid Pirahesh","SQL open heterogeneous data access","1998","International Conference on Management of Data"
"253288","Yihong Zhao, Prasad M. Deshpande, Jeffrey F. Naughton","An array-based algorithm for simultaneous multidimensional aggregates","1997","International Conference on Management of Data"
"253274","Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant","Range queries in OLAP data cubes","1997","International Conference on Management of Data"
"253374","Surajit Chaudhuri","Query optimization at the crossroads","1997","International Conference on Management of Data"
"233335","Leonid Libkin, Rona Machlin, Limsoon Wong","A query language for multidimensional arrays: design, implementation, and optimization techniques","1996","International Conference on Management of Data"
"233318","Piyush Goel, Bala Iyer","SQL query optimization: reordering for a general class of queries","1996","International Conference on Management of Data"
"233361","Kenneth A. Ross, Divesh Srivastava, S. Sudarshan","Materialized view maintenance and integrity constraint checking: trading space for time","1996","International Conference on Management of Data"
"223840","Wen-Chi Hou, Zhongyang Zhang","Enhancing database correctness: a statistical approach","1995","International Conference on Management of Data"
"223794","Nick Roussopoulos, Stephen Kelley, Fr&#233;d&#233;ric Vincent","Nearest neighbor queries","1995","International Conference on Management of Data"
"277955","Robert S. Epstein","Keynote Address","1995","International Conference on Management of Data"
"223895","Daniel A. Keim, Hans-Peter Kriegel","VisDB: a system for visualizing large databases","1995","International Conference on Management of Data"
"191911","Michael J. Carey, Michael J. Franklin, Markos Zaharioudakis","Fine-grained sharing in a page server OODBMS","1994","International Conference on Management of Data"
"191886","Jim Gray, Prakash Sundaresan, Susanne Englert, Ken Baclawski, Peter J. Weinberger","Quickly generating billion-record synthetic databases","1994","International Conference on Management of Data"
"191945","Susanne Englert","Nonstop SQL: scalability and availability for decision support","1994","International Conference on Management of Data"
"872792","Michael Benedikt, Chee-Yong Chan, Wenfei Fan, Juliana Freire, Rajeev Rastogi","Capturing both types and constraints in data integration","2003","International Conference on Management of Data"
"872855","D. Abadi, D. Carney, U. &#199;etintemel, M. Cherniack, C. Convey, C. Erwin, E. Galvez, M. Hatoun, A. Maskey, A. Rasin, A. Singer, M. Stonebraker, N. Tatbul, Y. Xing, R. Yan, S. Zdonik","Aurora: a data stream management system","2003","International Conference on Management of Data"
"872787","Saar Cohen, Yossi Matias","Spectral bloom filters","2003","International Conference on Management of Data"
"872859","SungRan Cho, Sihem Amer-Yahia, Laks V. S. Lakshmanan, Divesh Srivastava","LockX: a system for efficiently querying secure XML","2003","International Conference on Management of Data"
"564722","Nicolas Bruno, Surajit Chaudhuri","Exploiting statistics on query expressions for optimization","2002","International Conference on Management of Data"
"564781","Jiawei Han, Jianyong Wang, Guozhu Dong, Jian Pei, Ke Wang","CubeExplorer: online exploration of data cubes","2002","International Conference on Management of Data"
"564730","Yufei Tao, Dimitris Papadias","Time-parameterized queries in spatio-temporal databases","2002","International Conference on Management of Data"
"564786","Elke A. Rundensteiner, Matthew O. Ward, Jing Yang, Punit R. Doshi","XmdvTool: visual interactive data exploration and trend discovery of high-dimensional data sets","2002","International Conference on Management of Data"
"959076","D. Calvanese, G. De Giacomo, M. Lenzerini, M. Y. Vardi","Reasoning on regular path queries","2003","ACM SIGMOD Record "
"945735","Aris M. Ouksel","In-context peer-to-peer information filtering on the Web","2003","ACM SIGMOD Record "
"640996","Michael M. David","ANSI SQL hierarchical processing can fully integrate native XML","2003","ACM SIGMOD Record "
"637431","Omar Boucelma, Silvana Castano, Carole Goble, Vanja Josifovski, Zo&#233; Lacroix, Bertram Lud&#228;scher","Report on the EDBT'02 panel on scientific data integration","2002","ACM SIGMOD Record "
"565120","Ratko Orlandic, Jack Lukaszuk, Craig Swietlik","The design of a retrieval technique for high-dimensional data on tertiary storage","2002","ACM SIGMOD Record "
"507364","Kenneth A. Ross","Reminiscences on influential papers","2002","ACM SIGMOD Record "
"603872","Albrecht Schmidt, Florian Waas, Martin Kersten, Daniela Florescu, Michael J. Carey, Ioana Manolescu, Ralph Busse","Why and how to benchmark XML databases","2001","ACM SIGMOD Record "
"369289","Phillip A. Bernstein, Alon Y. Halevy, Rachel A. Pottinger","A vision for management of complex models","2000","ACM SIGMOD Record "
"344822","Angela Bonifati, Stefano Ceri","Comparative analysis of five XML query languages","2000","ACM SIGMOD Record "
"333612","Stanley M. T. Yau, Hong Va Leong, Dennis McLeod, Antonio Si","On mutli-resolution document transmission in mobile Web","1999","ACM SIGMOD Record "
"306119","Susanne Boll, Wolfgang Klas, Bernard Battaglin","Design and implementation of RMP: a virtual electronic market place","1998","ACM SIGMOD Record "
"273247","Akmal B. Chaudhri","Workshop report on experiences using object data management in the real-world","1998","ACM SIGMOD Record "
"271093","Ashish Gupta, Venky Harinarayan, Anand Rajaraman","Virtual database technology","1997","ACM SIGMOD Record "
"248610","Kenn Gardels","Open GIS and on-line environmental libraries","1997","ACM SIGMOD Record "
"234891","Justin Zobel, Alistair Moffat, Kotagiri Ramamohanarao","Guidelines for presentation and comparison of indexing techniques","1996","ACM SIGMOD Record "
"381882","Brad Adelberg, Ben Kao, Hector Garcia-Molina","Overview of the STanford Real-time Information Processor (STRIP)","1996","ACM SIGMOD Record "
"219774","Doug Stacey","Replication: DB2, Oracle, or Sybase?","1995","ACM SIGMOD Record "
"202668","Akmal B. Chaudhri","An annotated bibliography of benchmarks for object databases","1995","ACM SIGMOD Record "
"187449","Richard Thomas Snodgrass, Ilsoo Ahn, Gad Ariav, Don Batory, James Clifford, Curtis E. Dyreson, Ramez Elmasri, Fabio Grandi, Christian S. Jensen, Wolfgang K&#228;fer, Nick Kline, Krishna Kulkarni, T. Y. Cliff Leung, Nikos Lorentzos, John F. Roddick, Arie Segev, Michael D. Soo, Suryanarayana M. Sripada","A TSQL2 tutorial","1994","ACM SIGMOD Record "
"181569","Marianne Winslett","Progress on HPCC and NII","1994","ACM SIGMOD Record "
"568520","Kaushik Chakrabarti, Eamonn Keogh, Sharad Mehrotra, Michael Pazzani","Locally adaptive dimensionality reduction for indexing large time series databases","2002","ACM Transactions on Database Systems (TODS) "
"352963","Ralf Hartmut G&#252;ting, Michael H. B&#246;hlen, Martin Erwig, Christian S. Jensen, Nikos A. Lorentzos, Markus Schneider, Michalis Vazirgiannis","A foundation for representing and querying moving objects","2000","ACM Transactions on Database Systems (TODS) "
"277629","Sharad Mehrotra, Rajeev Rastogi, Henry F. Korth, Abraham Silberschatz","Ensuring consistency in multidatabases by preserving two-level serializability","1998","ACM Transactions on Database Systems (TODS) "
"232801","Shahram Ghandeharizadeh, Richard Hull, Dean Jacobs","Heraclitus: elevating deltas to be first-class citizens in a database programming language","1996","ACM Transactions on Database Systems (TODS) "
"195670","Narayanan Krishnakumar, Arthur J. Bernstein","Bounded ignorance: a technique for increasing concurrency in a replicated system","1994","ACM Transactions on Database Systems (TODS) "
"505049","Richard Snodgrass","Editorial","2001","ACM Transactions on Database Systems (TODS) "
"672028","Tamer Kahveci, Ambuj K. Singh","Efficient Index Structures for String Databases","2001","Very Large Data Bases"
"672032","Leonard Brown, Le Gruenwald","A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space","2001","Very Large Data Bases"
"672024","Yasushi Sakurai, Masatoshi Yoshikawa, Ryoji Kataoka, Shunsuke Uemura","Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation","2001","Very Large Data Bases"
"672201","Athman Bouguettaya, Ahmed K. Elmagarmid, Brahim Medjahed, M. Ouzzani","Ontology-based Support for Digital Government","2001","Very Large Data Bases"
"671695","Jayavel Shanmugasundaram, Eugene J. Shekita, Rimon Barr, Michael J. Carey, Bruce G. Lindsay, Hamid Pirahesh, Berthold Reinwald","Efficiently Publishing Relational Data as XML Documents","2000","Very Large Data Bases"
"671702","S. Misbah Deen, Anant Jhingran, Shamkant B. Navathe, Erich J. Neuhold, Gio Wiederhold","A 20/20 Vision of the VLDB-2020?","2000","Very Large Data Bases"
"672016","Andrey Balmin, Thanos Papadimitriou, Yannis Papakonstantinou","Hypothetical Queries in an OLAP Environment","2000","Very Large Data Bases"
"671842","Torben Bach Pedersen, Christian S. Jensen, Curtis E. Dyreson","The TreeScape System: Reuse of Pre-Computed Aggregates over Irregular OLAP Hierarchies","2000","Very Large Data Bases"
"671836","Amir Netz, Surajit Chaudhuri, Jeff Bernhardt, Usama M. Fayyad","Integration of Data Mining with Database Technology","2000","Very Large Data Bases"
"671359","Surajit Chaudhuri, Luis Gravano","Evaluating Top-k Selection Queries","1999","Very Large Data Bases"
"671492","Michael L. Brodie, Surajit Chaudhuri","Issues in Network Management in the Next Millennium","1999","Very Large Data Bases"
"671666","H. V. Jagadish, Laks V. S. Lakshmanan, Divesh Srivastava","What can Hierarchies do for Data Warehouses?","1999","Very Large Data Bases"
"671202","David Gibson, Jon M. Kleinberg, Prabhakar Raghavan","Clustering Categorical Data: An Approach Based on Dynamical Systems","1998","Very Large Data Bases"
"671345","Erik Riedel, Garth A. Gibson, Christos Faloutsos","Active Storage for Large-Scale Data Mining and Multimedia","1998","Very Large Data Bases"
"671170","Sridhar Ramaswamy, Sameer Mahajan, Abraham Silberschatz","On the Discovery of Interesting Patterns in Association Rules","1998","Very Large Data Bases"
"671168","Daniela Florescu, Alon Y. Levy, Dan Suciu","Is Web-site Management a Database Problem?","1998","Very Large Data Bases"
"673645","Srinivas Ashwin, Prasan Roy, S. Seshadri, Abraham Silberschatz, S. Sudarshan","Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting","1997","Very Large Data Bases"
"673641","Christos Faloutsos, H. V. Jagadish, Nikolaos Sidiropoulos","Recovering Information from Summary Data","1997","Very Large Data Bases"
"671021","Manoj Chavda, Peter T. Wood","Towards an ODMG-Compliant Visual Object Query Language","1997","Very Large Data Bases"
"673484","Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang","Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases","1996","Very Large Data Bases"
"673629","Dan Suciu","Query Decomposition and View Maintenance for Query Languages for Unstructured Data","1996","Very Large Data Bases"
"673467","Nelson Mendon&#231;a Mattos","Supporting Procedural Constructs in SQL Compilers","1996","Very Large Data Bases"
"673160","Peter Buneman, Susan B. Davidson, Kyle Hart, G. Christian Overton, Limsoon Wong","A Data Transformation System for Biological Data Sources","1995","Very Large Data Bases"
"673317","Harry Leslie, Rohit Jain, Dave Birdsall, Hedieh Yaghmai","Efficient Search of Multi-Dimensional B-Trees","1995","Very Large Data Bases"
"673130","Rainer Gallersd&#246;rfer, Matthias Nicola","Improving Performance in Replicated Databases through Relaxed Coherency","1995","Very Large Data Bases"
"672975","C&#233;sar A. Galindo-Legaria, Arjan Pellenkoft, Martin L. Kersten","Fast, Randomized Join-Order Selection - Why Use Transformations?","1994","Very Large Data Bases"
"672830","Michael Lesk","Experiments on Access to Digital Libraries: How can Images and Text be Used Together","1994","Very Large Data Bases"
"672991","Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari","Implementing Lazy Database Updates for an Object Database System","1994","Very Large Data Bases"
"672999","Philip A. Bernstein","PC Database Systems - Present and Future","1994","Very Large Data Bases"
"765223","Bettina Berendt, Myra Spiliopoulou","Analysis of navigation behaviour in web sites integrating multiple information systems","2000","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
"765541","Pavel Zezula, Pasquale Savino, Giuseppe Amato, Fausto Rabitti","Approximate similarity retrieval with M-trees","1998","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
"765566","Stefan Berchtold, Daniel A. Keim, Hans-Peter Kriegel","Using extended feature objects for partial similarity retrieval","1997","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
"765804","Yuh-Ming Shyy, Javier Arroyo, Stanley Y.W. Su, Herman Lam","The design and implementation of K: a high-level knowledge-base programming language of OSAM*.KBMS","1996","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
"615230","Alfons Kemper, Donald Kossmann","Adaptable pointer swizzling strategies in object bases: design, realization, and quantitative analysis","1995","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
"615189","Edward Sciore","Versioning and configuration management in an object-oriented data model","1994","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
"950490","Chi-Wai Fung, Kamalakar Karlapalem, Qing Li","Cost-driven vertical class partitioning for methods in object oriented databases","2003","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
"764202","T. Fiebig, S. Helmer, C.-C. Kanne, G. Moerkotte, J. Neumann, R. Schiele, T. Westmann","Anatomy of a native XML base management system","2002","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
"953242","Maria Halkidi, Benjamin Nguyen, Iraklis Varlamis, Michalis Vazirgiannis","THESUS: Organizing Web document collections based on link semantics","2003","The VLDB Journal &mdash; The International Journal on Very Large Data Bases "
