"id","label"
"<http://dbpedia.org/resource/American_University_of_Beirut>","American University of Beirut"
"<http://dbpedia.org/resource/An-Najah_National_University>","An-Najah National University"
"<http://dbpedia.org/resource/Australian_National_University>","Australian National University"
"<http://dbpedia.org/resource/Aveiro_University>","Aveiro University"
"<http://dbpedia.org/resource/Banaras_Hindu_University>","Banaras Hindu University"
"<http://dbpedia.org/resource/Carleton_University>","Carleton University"
"<http://dbpedia.org/resource/Chulalongkorn_University>","Chulalongkorn University"
"<http://dbpedia.org/resource/Columbia_University>","Columbia University"
"<http://dbpedia.org/resource/Daimler_AG>","Daimler AG"
"<http://dbpedia.org/resource/Dassault_Aviation>","Dassault Aviation"
"<http://dbpedia.org/resource/De_Montfort_University>","De Montfort University"
"<http://dbpedia.org/resource/Eindhoven_University_of_Technology>","Eindhoven University of Technology"
"<http://dbpedia.org/resource/ETH_Zurich>","ETH Zurich"
"<http://dbpedia.org/resource/Eurocopter>","Eurocopter"
"<http://dbpedia.org/resource/Gadjah_Mada_University>","Gadjah Mada University"
"<http://dbpedia.org/resource/Instituto_Superior_T%C3%A9cnico>","Instituto Superior Técnico"
"<http://dbpedia.org/resource/International_Organization_for_Migration>","International Organization for Migration"
"<http://dbpedia.org/resource/King%27s_College_London>","King's College London"
"<http://dbpedia.org/resource/Maritime_Research_Institute_Netherlands>","Maritime Research Institute Netherlands"
"<http://dbpedia.org/resource/Massey_University>","Massey University"
"<http://dbpedia.org/resource/Maxwell_Technologies>","Maxwell Technologies"
"<http://dbpedia.org/resource/McMaster_University>","McMaster University"
"<http://dbpedia.org/resource/Middlesex_University>","Middlesex University"
"<http://dbpedia.org/resource/Monash_University>","Monash University"
"<http://dbpedia.org/resource/National_Taiwan_University>","National Taiwan University"
"<http://dbpedia.org/resource/Oxford_Brookes_University>","Oxford Brookes University"
"<http://dbpedia.org/resource/Peking_University>","Peking University"
"<http://dbpedia.org/resource/Pozna%C5%84_University_of_Technology>","Pozna? University of Technology"
"<http://dbpedia.org/resource/Robert_Bosch_GmbH>","Robert Bosch GmbH"
"<http://dbpedia.org/resource/Sheffield_Hallam_University>","Sheffield Hallam University"
"<http://dbpedia.org/resource/Technical_University_of_Denmark>","Technical University of Denmark"
"<http://dbpedia.org/resource/The_University_of_Western_Ontario>","The University of Western Ontario"
"<http://dbpedia.org/resource/University_College_Cork>","University College Cork"
"<http://dbpedia.org/resource/University_of_Aberdeen>","University of Aberdeen"
"<http://dbpedia.org/resource/University_of_Adelaide>","University of Adelaide"
"<http://dbpedia.org/resource/University_of_Alberta>","University of Alberta"
"<http://dbpedia.org/resource/University_of_Bergen>","University of Bergen"
"<http://dbpedia.org/resource/University_of_Bradford>","University of Bradford"
"<http://dbpedia.org/resource/University_of_Bremen>","University of Bremen"
"<http://dbpedia.org/resource/University_of_Brighton>","University of Brighton"
"<http://dbpedia.org/resource/University_of_Bristol>","University of Bristol"
"<http://dbpedia.org/resource/University_of_Calgary>","University of Calgary"
"<http://dbpedia.org/resource/University_of_Cologne>","University of Cologne"
"<http://dbpedia.org/resource/University_of_Duisburg-Essen>","University of Duisburg-Essen"
"<http://dbpedia.org/resource/University_of_Florence>","University of Florence"
"<http://dbpedia.org/resource/University_of_Florida>","University of Florida"
"<http://dbpedia.org/resource/University_of_Glasgow>","University of Glasgow"
"<http://dbpedia.org/resource/University_of_Hamburg>","University of Hamburg"
"<http://dbpedia.org/resource/University_of_Helsinki>","University of Helsinki"
"<http://dbpedia.org/resource/University_of_Konstanz>","University of Konstanz"
"<http://dbpedia.org/resource/University_of_Lausanne>","University of Lausanne"
"<http://dbpedia.org/resource/University_of_Leipzig>","University of Leipzig"
"<http://dbpedia.org/resource/University_of_Limerick>","University of Limerick"
"<http://dbpedia.org/resource/University_of_Lincoln>","University of Lincoln"
"<http://dbpedia.org/resource/University_of_Manitoba>","University of Manitoba"
"<http://dbpedia.org/resource/University_of_Maribor>","University of Maribor"
"<http://dbpedia.org/resource/University_of_Michigan>","University of Michigan"
"<http://dbpedia.org/resource/University_of_New_South_Wales>","University of New South Wales"
"<http://dbpedia.org/resource/University_of_Ottawa>","University of Ottawa"
"<http://dbpedia.org/resource/University_of_Pretoria>","University of Pretoria"
"<http://dbpedia.org/resource/University_of_Reading>","University of Reading"
"<http://dbpedia.org/resource/University_of_Santiago_de_Compostela>","University of Santiago de Compostela"
"<http://dbpedia.org/resource/University_of_Stirling>","University of Stirling"
"<http://dbpedia.org/resource/University_of_Surrey>","University of Surrey"
"<http://dbpedia.org/resource/University_of_Tampere>","University of Tampere"
"<http://dbpedia.org/resource/University_of_Tehran>","University of Tehran"
"<http://dbpedia.org/resource/University_of_Troms%C3%B8>","University of Tromsø"
"<http://dbpedia.org/resource/University_of_Victoria>","University of Victoria"
"<http://dbpedia.org/resource/University_of_Vienna>","University of Vienna"
"<http://dbpedia.org/resource/University_of_Virginia>","University of Virginia"
"<http://dbpedia.org/resource/University_of_Warwick>","University of Warwick"
"<http://dbpedia.org/resource/University_of_Zurich>","University of Zurich"
