"id","label"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/60787>","FORTOVASE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2650>","Fortaz"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/41317>","SORIATANE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/91270>","Univasc"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5430>","Mintezol"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4542>","Mirena"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3736>","ULTRAVIST"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5523>","Ultram"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5206>","Ultane"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/727>","Lindane"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5503>","tolazamide"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/57537>","NEUPRO"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/216239>","Nexavar"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4630253>","ACLOVATE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4829>","Actos"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5656>","Effexor XR"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2955>","Aczone"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5245>","Actonel"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2092>","Uroxatral"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/74989>","Mepron"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3739>","iodipamide"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/6447131>","Elidel"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2216>","Iopidine"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2160>","Elavil"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3890>","Xalatan"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3241>","ELESTAT"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/18140>","Emcyt"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/151165>","Emend"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3168>","droperidol"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/115237>","Invega"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5311082>","Integrilin"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3698>","inamrinone"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/150310>","Inspra"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/150610>","Invanz"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/72054>","Enablex"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2435>","ALPHAGAN P"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5038>","Altace"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4053>","Alkeran"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3143>","Taxotere"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/176870>","Tarceva"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/82146>","Targretin"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/60843>","Alimta"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4138>","Aldomet"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3639>","Aldoril"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/123631>","IRESSA"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3516>","Mucinex"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4440>","Amerge"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2895>","AMRIX"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/60953>","Xeloda"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3877>","Epivir"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/6018>","XENAZINE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3476>","AMARYL"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4912>","PROBUCOL"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3647>","hydroflumethiazide"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/54454>","SIMVASTATIN"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/166548>","ERAXIS"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2973>","DEFEROXAMINE MESYLATE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5530>","Parnate"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/60184>","PERINDOPRIL ERBUMINE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/65863>","Sertaconazole nitrate"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/438204>","SILVER SULFADIAZINE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5403>","terbutaline"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/32800>","Sincalide"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5401>","TERAZOSIN HYDROCHLORIDE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4689>","paromomycin"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/60865>","Patanol"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/38904>","Paraplatin"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/54454>","SIMVASTATIN"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4058>","MEPERIDINE HYDROCHLORIDE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5040>","SIROLIMUS"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3954>","LOPERAMIDE HYDROCHLORIDE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4675>","PANCURONIUM BROMIDE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5002>","Seroquel XR"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2520>","VERAPAMIL HYDROCHLORIDE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4691>","Paxil CR"
